m,repeat_after,max_value,most common value in tail
534,5087573,6728,4430
535,4082358,6914,4334
536,1643408,6803,4294
537,3283407,7093,4342
538,6255110,7074,4310
539,112357,6421,4610
540,8542305,7114,4328
541,727257,6682,4342
542,749952,6520,4362
543,5970876,6928,4362
544,4452156,6778,4430
545,13127451,7114,4430
546,900295,6725,4430
547,4414243,6910,4394
548,332284,6806,4394
549,1090879,6976,4430
550,10944886,7214,4434
551,5657433,7544,2638
552,18235817,7162,4438
553,37135141,7262,4610
554,28084278,7664,2638
555,26423031,7180,4434
556,3239036,7388,4534
557,9959918,7246,2638
558,4773934,7288,4434
559,55134334,7403,4434
560,79536993,7558,2638
561,32815293,7262,2638
562,61367399,7534,4610
563,51310608,8133,4610
564,14918472,7526,4434
565,13470470,7322,4434
566,409504,7016,4568
567,16702126,7558,4610
568,35883513,7634,4434
569,154797315,8129,4610
570,47120852,7682,4582
571,61743984,7754,4434
572,26863461,7408,4744
573,32323930,7809,4610
574,15813590,7390,4610
575,66527255,7754,4630
576,81214641,8046,4630
577,76696737,7808,2638
578,138509273,7976,4434
579,44974709,7766,5154
580,88235261,7790,5286
581,190267848,7964,4744
582,146584800,7984,2638
583,8797006,7580,4744
584,157181558,8146,2638
585,261078545,7864,5154
586,79967965,7892,4434
587,300241623,8066,2642
588,22602873,7798,2638
589,28823495,7726,4534
590,966856918,8846,4434
591,758506335,8464,5154
592,58999724,8292,4434
593,30645128,7902,4434
594,3790444,7531,5154
595,68100427,8050,2638
596,None,None,None
597,106417993,8471,5154
598,54956645,8141,4922
599,107596602,8818,5286
600,142976594,8390,4854
601,54310463,8129,4854
602,41894713,8070,4854
603,44614589,8138,5154
604,1964821,7815,4854
605,24030287,8258,4856
606,25308109,8082,4854
607,43008986,8090,4938
608,9698908,8042,4938
609,64618726,8324,4938
610,9108298,7927,4938
611,5317460,7706,4898
612,1922776,7386,4922
613,14142928,8258,4904
614,2954666,8042,4938
615,8659585,8162,4978
616,6088107,8090,4978
617,8915347,8286,4974
618,6363496,8114,5154
619,5188264,7708,4978
620,31982252,8314,4978
621,9715051,8070,4978
622,18891826,8399,4978
623,38203593,8402,4994
624,34706247,8606,5154
625,25787530,8398,4938
626,1868787,7768,5018
627,23381821,8416,5154
628,193935012,8686,5034
629,3512502,8356,5154
630,247650411,8638,5118
631,7746317,8182,5154
632,85536885,8678,5154
633,106686663,8734,5154
634,60817638,8458,5118
635,146380328,8644,4938
636,65336096,8483,5154
637,12704910,8582,5158
638,101867862,9110,5118
639,135775054,8596,5154
640,46028102,8886,5154
641,162045266,8686,5154
642,187415795,8954,4938
643,149775452,8894,5154
644,85779679,8677,5158
645,71175143,8630,5154
646,172233537,9146,5154
647,None,None,None
648,None,None,None
649,183365798,9076,5154
650,63650627,8886,5154
651,None,None,None
652,None,None,None
653,189570202,9722,5158
654,50943100,8884,5154
655,89441348,8858,5154
656,None,None,None
657,137938051,8948,5154
658,18659415,9002,5154
659,39772507,9032,5158
660,None,None,None
661,None,None,None
662,265512598,9082,5154
663,None,None,None
664,None,None,None
665,None,None,None
666,None,None,None
667,59849041,9074,3062
668,275865838,9508,4938
669,None,None,None
670,None,None,None
671,None,None,None
672,None,None,None
673,53921982,9070,4938
674,None,None,None
675,280337312,9556,5158
676,None,None,None
677,45440367,9242,5154
678,None,None,None
679,281394207,9626,5154
680,None,None,None
681,None,None,None
682,14905578,8860,5154
683,None,None,None
684,None,None,None
685,None,None,None
686,None,None,None
687,None,None,None
688,None,None,None
689,None,None,None
690,285511463,9586,5158
691,None,None,None
692,24342106,9678,2918
693,178442558,9674,5898
694,None,None,None
695,288288116,10364,5846
696,None,None,None
697,None,None,None
698,None,None,None
699,None,None,None
700,277022787,10046,5154
